SIR-Stapleton
SIR-St. George Terminal
SIR-Tompkinsville
SIR-Tottenville
W-14th Street–Union Square
W-23rd Street
W-28th Street
W-30th Avenue
W-34th Street–Herald Square
W-36th Avenue
W-39th Avenue
W-49th Street
W-57th Street–Seventh Avenue
W-Astoria Boulevard
W-Astoria–Ditmars Boulevard
W-Broadway
W-Canal Street
W-City Hall
W-Cortlandt Street
W-Eighth Street–New York University
W-Fifth Avenue–59th Street
W-Lexington Avenue/59th Street
W-Prince Street
W-Queensboro Plaza
W-Rector Street
W-Times Square–42nd Street
W- (upper level – local)
W-Whitehall Street–South Ferry
Z-104th Street
Z-111th Street
Z-121st Street
Z-75th Street–Elderts Lane
Z-85th Street–Forest Parkway
Z-Alabama Avenue
Z-Bowery
Z-Broad Street
Z-Broadway Junction
Z-Canal Street
Z-Chambers Street
Z-Chauncey Street
Z-Cleveland Street
Z-Crescent Street
Z-Cypress Hills
Z-Essex Street
Z-Flushing Avenue
Z-Fulton Street
Z-Gates Avenue
Z-Halsey Street
Z-Hewes Street
Z-Jamaica Center–Parsons/Archer
Z-Kosciuszko Street
Z-Lorimer Street
Z-lower level
Z-Marcy Avenue
Z-Myrtle Avenue
Z-Norwood Avenue
Z-Sutphin Boulevard–Archer Avenue–JFK Airport
Z-Van Siclen Avenue
Z-Woodhaven Boulevard
